"t","timedate","Ph","YTi","VAHU","TAHU","Ta","Ps","Vw","YTi_FF"
2077,2023-07-15 10:00:00,0.024169921875,20.3374996185303,0,23.8700008392334,18.2,767,0,18.8075008392334
2078,2023-07-15 10:10:00,0.0120849609375,20.3675003051758,0,23.8700008392334,18.9,253,4.1,19.0699996948242
2079,2023-07-15 10:20:00,0.0179443359375,20.5250005722046,0,23.8700008392334,18.7,192,2.4,19.1324996948242
2080,2023-07-15 10:30:00,0.0120849609375,20.4850006103516,0,23.8700008392334,18.9,825,0,19.0900001525879
2081,2023-07-15 10:40:00,0.0238037109375,20.5800008773804,0,23.8700008392334,19.2,958,1.6,19.2074995040894
2082,2023-07-15 10:50:00,0.1080322265625,20.6374998092651,0,23.8700008392334,19.6,795,0,19.2825002670288
2083,2023-07-15 11:00:00,0.5760498046875,20.6925001144409,0,23.8700008392334,19.5,774,0,19.4949998855591
2084,2023-07-15 11:10:00,0.533935546875,20.7700004577637,0,23.8700008392334,19.9,889,0,19.8175001144409
2085,2023-07-15 11:20:00,0.6478271484375,20.8399991989136,0,23.8700008392334,20.1,275,0,19.6999998092651
2086,2023-07-15 11:30:00,0.528076171875,20.8774995803833,0,23.8700008392334,20,907,1.1,19.7825002670288
2087,2023-07-15 11:40:00,0.0362548828125,20.8299999237061,0,23.8700008392334,20.1,225,0,19.6850004196167
2088,2023-07-15 11:50:00,0.0179443359375,20.8274993896484,0,23.8700008392334,18.7,81,5.4,19.3924999237061
2089,2023-07-15 12:00:00,0.0179443359375,20.5649995803833,0,23.8700008392334,16.3,87,5.2,18.7150001525879
2090,2023-07-15 12:10:00,0.0120849609375,20.4700002670288,0,23.8700008392334,15.5,231,5,18.3675003051758
2091,2023-07-15 12:20:00,0.0238037109375,20.335000038147,0,23.8700008392334,16,575,4.7,18.1350002288818
2092,2023-07-15 12:30:00,0.0120849609375,20.4325008392334,0,23.8700008392334,17,868,5.3,18.5050001144409
2093,2023-07-15 12:40:00,0.0179443359375,20.477499961853,0,23.8700008392334,18,885,5.4,18.7624998092651
2094,2023-07-15 12:50:00,0.0120849609375,20.539999961853,0,23.8700008392334,18.6,896,6.2,18.9375
2095,2023-07-15 13:00:00,0.024169921875,20.5750007629395,0,23.8700008392334,19.1,831,3.9,19.1675004959106
2096,2023-07-15 13:10:00,0.0120849609375,20.6374998092651,0,23.8700008392334,19.6,980,0,19.4125003814697
2097,2023-07-15 13:20:00,0.0179443359375,20.6824998855591,0,23.8700008392334,19.8,988,0,19.6624994277954
2098,2023-07-15 13:30:00,0.0179443359375,20.7799997329712,0,23.8700008392334,20.3,750,0,19.7525005340576
2099,2023-07-15 13:40:00,0.0238037109375,20.875,0,23.8700008392334,20.1,179,0,19.710000038147
2100,2023-07-15 13:50:00,0.0120849609375,20.7124996185303,0,23.8700008392334,19.2,130,5.5,19.5275001525879
2101,2023-07-15 14:00:00,0.0179443359375,20.7149991989136,0,23.8700008392334,19.1,203,5.2,19.4674997329712
2102,2023-07-15 14:10:00,0.0120849609375,20.6599998474121,0,23.8700008392334,19.3,222,5.5,19.3550004959106
2103,2023-07-15 14:20:00,0.0238037109375,20.6950006484985,0,23.8700008392334,18.4,272,6.8,19.2875003814697
2104,2023-07-15 14:30:00,0.0120849609375,20.6399993896484,0,23.8700008392334,18.1,689,6,19.2224998474121
2105,2023-07-15 14:40:00,0.0179443359375,20.6274995803833,0,23.8700008392334,19,843,6.6,19.2200002670288
2106,2023-07-15 14:50:00,0.0179443359375,20.7649993896484,0,23.8700008392334,19.2,844,0.8,19.3649997711182
2107,2023-07-15 15:00:00,0.024169921875,20.7799997329712,0,23.8700008392334,19.4,879,0,19.4950008392334
2108,2023-07-15 15:10:00,0.0120849609375,20.8499994277954,0,23.8700008392334,19.4,843,0,19.6975002288818
2109,2023-07-15 15:20:00,0.0120849609375,20.9475002288818,0,23.8700008392334,19.4,704,0,19.8824996948242
2110,2023-07-15 15:30:00,0.0179443359375,21.0375003814697,0,23.8700008392334,19.2,419,0,20.0425004959106
2111,2023-07-15 15:40:00,0.0238037109375,21.0799999237061,0,23.8700008392334,19.5,845,0,19.8924999237061
2112,2023-07-15 15:50:00,0.0120849609375,21.1275005340576,0,23.8700008392334,19.8,257,0,20.1575002670288
2113,2023-07-15 16:00:00,0.0238037109375,21.227499961853,0,23.8700008392334,20,757,0,20.0549993515015
2114,2023-07-15 16:10:00,0.0120849609375,21.3374996185303,0,23.8700008392334,20.1,784,0,20.2449998855591
2115,2023-07-15 16:20:00,0.0179443359375,21.3550004959106,0,23.8700008392334,20.2,543,0,20.4399995803833
2116,2023-07-15 16:30:00,0.0120849609375,21.3225002288818,0,23.8700008392334,19.8,227,0,20.0625
2117,2023-07-15 16:40:00,0.024169921875,21.3675003051758,0,23.8700008392334,20.2,608,0,20.1275005340576
2118,2023-07-15 16:50:00,0.0120849609375,21.375,0,23.8700008392334,20,526,0,20.1950006484985
2119,2023-07-15 17:00:00,0.0179443359375,21.2600002288818,0,23.8700008392334,19.2,692,3,19.9000005722046
2120,2023-07-15 17:10:00,0.0179443359375,21.3000001907349,0,23.8700008392334,19.5,572,6.3,19.8774995803833
2121,2023-07-15 17:20:00,0.0238037109375,21.335000038147,0,23.8700008392334,19.8,654,5.2,20.1050004959106
2122,2023-07-15 17:30:00,0.0120849609375,21.4200000762939,0,23.8700008392334,19.6,210,0,20.022500038147
2123,2023-07-15 17:40:00,0.0179443359375,21.4350004196167,0,23.8700008392334,19.6,191,0,20.1349992752075
2124,2023-07-15 17:50:00,0.0120849609375,21.4125003814697,0,23.8700008392334,19.7,157,0,19.9075002670288
2125,2023-07-15 18:00:00,0.024169921875,21.4125003814697,0,23.8700008392334,19.6,425,0,19.897500038147
2126,2023-07-15 18:10:00,0.0120849609375,21.4150009155273,0,23.8700008392334,19.8,316,0,20.0475006103516
2127,2023-07-15 18:20:00,0.0179443359375,21.375,0,23.8700008392334,19.6,159,0,19.9200000762939
2128,2023-07-15 18:30:00,0.0179443359375,21.4049997329712,0,23.8700008392334,19.3,179,5.8,19.8575000762939
2129,2023-07-15 18:40:00,0.0238037109375,21.3924999237061,0,23.9350004196167,19.3,167,4.9,19.789999961853
2130,2023-07-15 18:50:00,0.0120849609375,21.272500038147,0,24,19.2,93,0,19.6174993515015
2131,2023-07-15 19:00:00,0.0179443359375,21.2325000762939,0,24,18.9,97,0,19.6400003433228
2132,2023-07-15 19:10:00,0.0120849609375,21.2349996566772,0,24,19.1,199,0,19.4975004196167
2133,2023-07-15 19:20:00,0.0296630859375,21.1925001144409,0,24,18.7,77,0,19.4974994659424
2134,2023-07-15 19:30:00,0.0120849609375,21.0324993133545,0,24,18.2,138,4.3,19.3024997711182
2135,2023-07-15 19:40:00,0.0179443359375,21.0249996185303,0,24,18.6,139,5.7,19.460000038147
2136,2023-07-15 19:50:00,0.0179443359375,21.0524997711182,0,24,18.4,38,5.9,19.25
2137,2023-07-15 20:00:00,0.0245361328125,20.9900007247925,0,24,18.1,30,6.2,19.1374998092651
2138,2023-07-15 20:10:00,0.01171875,20.8150005340576,0,24,17.5,31,7,19.0649995803833
2139,2023-07-15 20:20:00,0.0238037109375,20.710000038147,0,24,17.2,33,6.3,18.9375
2140,2023-07-15 20:30:00,0.0120849609375,20.6274995803833,0,24,17.1,26,5.6,18.8024997711182
2141,2023-07-15 20:40:00,0.024169921875,20.5699996948242,0,24,17,13,5.4,18.7775001525879
2142,2023-07-15 20:50:00,0.01171875,20.4400005340576,0,23.8700008392334,16.8,12,6,18.6824998855591
2143,2023-07-15 21:00:00,0.0245361328125,20.4224996566772,0,23.8700008392334,16.7,24,6,18.6199998855591
2144,2023-07-15 21:10:00,0.01171875,20.4124994277954,0,23.8700008392334,16.6,8,5,18.5675001144409
2145,2023-07-15 21:20:00,0.018310546875,20.3225002288818,0,23.8700008392334,16.5,3,5.8,18.4324998855591
2146,2023-07-15 21:30:00,0.01171875,20.397500038147,0,23.8700008392334,16.4,2,5.3,18.4800004959106
2147,2023-07-15 21:40:00,0.0179443359375,20.4250001907349,0,23.8700008392334,16.3,2,5.5,18.6724996566772
2148,2023-07-15 21:50:00,0.0179443359375,20.3725004196167,0,23.8700008392334,16.2,1,6,18.4974994659424
2149,2023-07-15 22:00:00,0.0120849609375,20.3374996185303,0,23.8700008392334,16.2,1,5.2,18.3825006484985
2150,2023-07-15 22:10:00,0.0120849609375,20.3700008392334,0,23.8700008392334,16.2,1,4.6,18.4274997711182
2151,2023-07-15 22:20:00,0.0238037109375,20.3375005722046,0,23.8700008392334,16.2,1,4.9,18.3400001525879
